identifer,sort,dc_title,dc_description,dc_creator,iiif_service
cddc54f7-b699-451c-bf37-1a41aa620817,0,"Parent Record; Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],
773307a0-7435-4482-a62c-19a13cd9901a,1,"Front Cover; Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/156/info.json
c97ca5f1-02dc-4154-8c10-eb0e44b6295b,2,"Front Pastedown; Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/157/info.json
f6c7f7bc-0acc-40c5-95ee-f7595921bb15,3,"Title Page; Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/158/info.json
02d35f84-d9f1-440b-b0aa-f18b7d5ccc30,4,"Map of Anoka County; Page 4: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/159/info.json
789a5402-bdf3-4ad3-99b3-18a740aa24b7,5,"Map of Hennepin County; Page 5: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/160/info.json
fd47ae51-024f-4cd3-ad33-23c4a2818197,6,"Directory of Linwood Township; Page 6: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/161/info.json
cfd2a509-2327-4025-ab86-d83dca56b9fe,7,"Map of Linwood Township: Townships 33 & 34 N; Range 22 W of the 4th PM.; Page 7: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/162/info.json
a54a2776-3972-46b8-bd0d-e539e008a8f5,8,"Directory of Bethel Township; Page 8: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/163/info.json
034a8b52-aa41-4b78-87d0-860ead41271e,9,"Map of Bethel Township: Townships 33 & 34 N; Range 23 W of the 5th PM.; Page 9: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/164/info.json
4484388f-b080-4529-9caf-461d2dad46d6,10,"Directory of St. Francis Township; Page 10: Atlas and farmers' directory of Anoka County and eleven northern townships of Hennepin County, Minnesota, 1914",,The Farmer [magazine],https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/165/info.json
