id,sort,dc_title,dc_description,dc_creator,GeoBlacklight:Information Page,iiif_service
a5223e46-8f35-4c26-ae45-0bf609e8fe41,0,"Parent Record; Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,
600f1f78-edc7-453f-8ed2-721d0d70e914,1,"Front Cover; Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/603/info.json
1f9b367b-f4d0-4414-a2a8-47b160834c4c,2,"Advertisements.; Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/604/info.json
fd8d043d-2b12-472b-9a77-381d459dddee,3,"Title Page; Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/605/info.json
de25a8d6-303b-4bb7-a1a4-feb9f108303f,4,"Advertisements.; Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/606/info.json
30ecc432-9f4a-43e3-97f8-4f42c64e8861,5,"Northern Portion of Clearwater County; Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/607/info.json
a0351364-67fe-4419-a9e3-d66467c1eb39,6,"Advertisements.; Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/608/info.json
35802ef4-c6b5-4233-8c60-b93fecf7c7e8,7,"Southern Portion of Clearwater County; Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/609/info.json
81f318cc-5077-4a2b-8f7e-445554282124,8,"Map of Part of Diminished Red Lake Indian Reservation: Township 152 N; Range 38 W of the 5th PM.; Page 7: Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/610/info.json
7fa45924-38a5-40a4-b001-5deee5bc726e,9,"Map of Part of Diminished Red Lake Indian Reservation: Township 152 N; Range 37 W of the 5th PM.; Page 9: Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/611/info.json
5bf8adac-8087-41d6-8c1f-9ee143a7d701,10,"Map of Part of Diminished Red Lake Indian Reservation: Township 152 N; Range 36 W of the 5th PM.; Page 11: Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/612/info.json
a208435b-d42b-491a-9f79-610d1253de16,11,"Map of Hangaard Township: Township 151 N; Range 38 W of the 5th PM.; Page 13: Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/613/info.json
8b97eca1-03a1-4bca-abbd-f1f959b4cae6,12,"Map of Part of Diminished Red Lake Indian Reservation: Township 151 N; Range 37 W of the 5th PM.; Page 15: Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/614/info.json
1ef7a589-425d-4a22-9711-6fee1f40d8fa,13,"Map of Part of Diminished Red Lake Indian Reservation: Township 151 N; Range 36 W of the 5th PM.; Page 17: Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/615/info.json
251988bd-2e5d-4433-843c-26c9204041d1,14,"Map of Winsor Township: Township 150 N; Range 38 W of the 5th PM.; Page 19: Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/616/info.json
e84e8960-dbf6-427a-bb0e-fa93400d6ba4,15,"Map of Greenwood Township: Township 150 N; Range 37 W of the 5th PM.; Page 21: Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/617/info.json
b56ea53f-0ef4-43ed-bea4-b69a37de5fe3,16,"Map of Part of Diminished Red Lake Indian Reservation: Township 150 N; Range 36 W of the 5th PM.; Page 23: Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/618/info.json
