identifier,sort,dc_title,dc_description,dc_creator,iiif_service
9702bb22-4305-4cc2-a8f4-fc10e4ef05df,0,"Parent Record; Atlas and farmers‚ directory of Dakota County, Minnesota, 1916.","Atlas and farm directory with complete survey in township plats, Dakota County, Minnesota, containing plats of all townships with owners' names ... / published by The Farmer [magazine] ; engraved by The Kenyon Company, Des Moines, Iowa. St. Paul: Webb Publishing Co., c1916.",The Farmer [magazine] (Publisher),
437d53be-8642-49c8-af0d-dfed3ecd7995,1,"Front Cover; Atlas and farm directory with complete survey in township plats, Dakota County, Minnesota, 1916",,The Farmer [magazine] (Publisher),https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1723/info.json
2428d6c6-1096-4bf6-bde3-352106d540ff,2,"Front Pastedown; Atlas and farm directory with complete survey in township plats, Dakota County, Minnesota, 1916",,The Farmer [magazine] (Publisher),https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1724/info.json
92e1ee4d-8523-415e-bfb5-173a4595aa93,3,"Blank; Atlas and farm directory with complete survey in township plats, Dakota County, Minnesota, 1916",,The Farmer [magazine] (Publisher),https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1725/info.json
3dc5d10b-94cf-420e-bd84-43c6d9e13cd4,4,"Blank; Atlas and farm directory with complete survey in township plats, Dakota County, Minnesota, 1916",,The Farmer [magazine] (Publisher),https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1726/info.json
7667fd31-316d-4547-81ef-fd0bcb6ece03,5,"Title Page.; Atlas and farm directory with complete survey in township plats, Dakota County, Minnesota, 1916",,The Farmer [magazine] (Publisher),https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1727/info.json
dc811e00-222b-44ba-87f7-e9fc9d1ebf51,6,"Blank; Atlas and farm directory with complete survey in township plats, Dakota County, Minnesota, 1916",,The Farmer [magazine] (Publisher),https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1728/info.json
318e2544-428d-48ff-bfe8-cd2c36c311fa,7,"Outline map of Dakota County.; Page 3: Atlas and farm directory with complete survey in township plats, Dakota County, Minnesota, 1916",,The Farmer [magazine] (Publisher),https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1729/info.json
c9a5f92e-6df2-42e7-b45b-e83374cb9c92,8,"Directory of Eagan & Mendota Townships.; Page 4: Atlas and farm directory with complete survey in township plats, Dakota County, Minnesota, 1916",,The Farmer [magazine] (Publisher),https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1730/info.json
737e4a62-2fc9-4e7a-8619-b9ae52688600,9,"Map of Eagan & Mendota Townships: Township 27 & 28 N; Range 23 W of the 4th PM.; Page 5: Atlas and farm directory with complete survey in township plats, Dakota County, Minnesota, 1916",,The Farmer [magazine] (Publisher),https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1731/info.json
5d83b199-285c-454e-be60-198f70a57a57,10,"Directory of Inver Grove Township.; Page 6: Atlas and farm directory with complete survey in township plats, Dakota County, Minnesota, 1916",,The Farmer [magazine] (Publisher),https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1732/info.json
25883afb-9a48-4036-8c02-cecea8ef69bb,11,"Map of Inver Grove Township: Township 27 & 28 N; Range 22 W of the 4th PM.; Page 7: Atlas and farm directory with complete survey in township plats, Dakota County, Minnesota, 1916",,The Farmer [magazine] (Publisher),https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1733/info.json
7c7985cc-d142-4474-8767-7486001ab56e,12,"Directory of Burnsville & Inver Grove Townships.; Page 8: Atlas and farm directory with complete survey in township plats, Dakota County, Minnesota, 1916",,The Farmer [magazine] (Publisher),https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1734/info.json
ddac87be-190c-406f-b7b9-bbe4db665919,13,"Map of Burnsville Township: Township 27 N; Range 24 W of the 4th PM / Township 115 N; Range 20 & 21 W of the 5th PM.; Page 9: Atlas and farm directory with complete survey in township plats, Dakota County, Minnesota, 1916",,The Farmer [magazine] (Publisher),https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1735/info.json
985ea168-4881-4fe8-92a6-fdc8711f8d29,14,"Directory of Lebanon & Inver Grove Townships.; Page 10: Atlas and farm directory with complete survey in township plats, Dakota County, Minnesota, 1916",,The Farmer [magazine] (Publisher),https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1736/info.json
2d57ffb8-a0ed-4f09-89de-264c5158d97e,15,"Map of Lebanon Township: Township 115 N; Range 20 W of the 5th PM.; Page 11: Atlas and farm directory with complete survey in township plats, Dakota County, Minnesota, 1916",,The Farmer [magazine] (Publisher),https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1737/info.json
2817eb08-9218-406c-9a60-2fd6079f7cae,16,"Directory of Ninninger Township.; Page 12: Atlas and farm directory with complete survey in township plats, Dakota County, Minnesota, 1916",,The Farmer [magazine] (Publisher),https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1738/info.json
873028ab-b0d4-4803-bc88-cbce8cdda077,17,"Directory of Rosemount Township.; Page 13: Atlas and farm directory with complete survey in township plats, Dakota County, Minnesota, 1916",,The Farmer [magazine] (Publisher),https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1739/info.json
