id,sort,dc_title,dc_description,dc_creator,iiif_service
c6836071-9ee9-4297-b903-d6a384f1a4a7,0,"Parent Record: Atlas of Hennepin County, Minnesota, 1913","Atlas of Hennepin County, Minnesota / compiled and drawn from official records and actual surveys by P.O. Westby, C.E. Minneapolis : Hennepin Atlas and Pub. Co., 1913.","Westby, P. O.",
ad50071b-4410-40c5-8503-88fcbe34e839,1,"Front Cover; Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1262/info.json
347db5dd-e919-4760-85a0-cf572829f212,2,"Front Pastedown; Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1263/info.json
d23073ba-0496-406b-8af7-f97d28b042e2,3,"Title page; Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1264/info.json
a380731f-5f0d-4674-8601-6f0bad790f5b,4,"Index; Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1265/info.json
d490bc3b-cda9-4003-ad15-fec94a93b54d,5,"Index; Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1266/info.json
7c595652-c0c0-435a-b02c-594c30fe6d7f,6,"Index; Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1267/info.json
36b89277-5ec5-4385-9f91-18a449295de3,7,"Index; Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1268/info.json
d85869cb-90ba-4b14-831f-a09f00e924bd,8,"Index; Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1269/info.json
e73ce7de-f876-42c3-aa0d-75d8f1c12714,9,"Index; Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1270/info.json
72a7547e-888a-4da6-9ce6-b29f707bb721,10,"Index to Sections; Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1271/info.json
e6c527e1-eb63-446d-a4b8-7448030a338c,11,"Blank Page; Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1272/info.json
c25405b8-3f99-40c0-9957-8e71ca420e23,12,"Map of Minneapolis (north); Page 3: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1273/info.json
61ef6a66-826e-4696-8c36-5a64a88161e4,13,"Map of Minneapolis (south); Page 4: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1274/info.json
2321b5a6-cdd8-4fa4-9a67-181cc4cb7cf5,14,"Map of Hennepin County (west); Page 5: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1275/info.json
ea24d865-511d-48e2-bc6c-c3e66e6fd5b1,15,"Map of Hennepin County (east); Page 6: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1276/info.json
ff157adf-a0e0-4add-b429-ef5a88ae90e6,16,"Map of Hennepin County and environs (west); Page 7: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1277/info.json
d26082bd-7ceb-406b-9051-6dae30aedab1,17,"Map of Hennepin County and environs (east); Page 8: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1278/info.json
