id,a,dc_title,dc_description,dc_creator,iiif_service
414ade45-bef0-47ae-98a6-2b883c2642dd,0,"Parent Record; Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915","Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, containing plats of all townships with owners' names, also Minnesota state map showing automobile roads, maps of the United States and the world, an outline map of the county showing the location of townships, villages, roads, schools, churches, railroads and streams.",Webb Publishing Co.,
c1fcd6b3-e50a-48ac-b42d-de53d3f497ce,1,"Front Cover; Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2366/info.json
49d47cdc-6ec8-4da7-b18d-88a79e873ba6,2,"Front Pastedown; Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2367/info.json
50383bb0-8e75-4057-ad23-91319ca6ca02,3,"Title Page; Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2368/info.json
8532246b-4542-4d08-a655-c2c019fe7dca,4,"Blank Page; Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2369/info.json
3d449ff8-f7e7-42dc-8749-9381e6d9c014,5,"Outline Map of Lincoln County, Minnesota, 1915.; Page 3: Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2370/info.json
04e3a46f-5e12-4a4d-8154-51c29c8239a3,6,"Farmers' Directory of Hansonville Township.; Page 4: Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2371/info.json
4cd89e55-d487-4011-9e9a-64759fd78764,7,"Map of Hansonville Township: Township 113 N, Range 46 W of the 5th PM.; Page 5: Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2372/info.json
aeeca3a0-5666-4f55-9426-9c6f719960be,8,"Farmers' Directory of Marble Township.; Page 6: Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2373/info.json
c89e182f-37e1-4207-94e4-70e388a5f48a,9,"Map of Marble Township: Township 113 N, Range 45 W of the 5th PM.; Page 7: Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2374/info.json
4226ff48-1e0d-4caf-b699-935cb932b477,10,"Farmers' Directory of Alta Vista Township.; Page 8: Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2375/info.json
4783fd4c-01f6-41c0-80f1-e0756a2b8d15,11,"Map of Alta Vista Township: Township 113 N, Range 44 W of the 5th PM.; Page 9: Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2376/info.json
bbbfa02c-6918-4ab1-be95-6ba1c85cbd26,12,"Farmers' Directory of Hendricks Township.; Page 10: Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2377/info.json
85afd0be-0069-41c5-8281-9392cddc98ac,13,"Map of Hendricks Township: Township 112 N, Range 46 W of the 5th PM.; Page 11: Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2378/info.json
455d0c40-35e7-4fac-803a-730c95d1ed86,14,"Farmers' Directory of Royal Township.; Page 12: Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2379/info.json
325df7ad-c12a-4a91-a83c-b859592cf92c,15,"Map of Royal Township: Township 112 N, Range 45 W of the 5th PM.; Page 13: Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2380/info.json
c226abb8-e2e6-41d4-897b-ba59d7daa571,16,"Farmers' Directory of Limestone Township.; Page 14: Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2381/info.json
476608e4-104f-45b4-bf26-0c664bc6523b,17,"Map of Limestone Township: Township 112 N, Range 44 W of the 5th PM.; Page 15: Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2382/info.json
45b27e20-c5c7-474d-bf00-f0ab3330b4e2,18,"Farmers' Directory of Shaokatan Township.; Page 16: Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2383/info.json
1f2ec75b-ee2c-478a-a68b-7633f7bbc535,19,"Map of Shaokatan Township: Township 111 N, Range 46 W of the 5th PM.; Page 17: Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2384/info.json
c4ec5fac-9f89-47ad-b900-6ccf45585ed0,20,"Farmers' Directory of Ash Lake Township.; Page 18: Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2385/info.json
4353f114-ac06-4a66-988b-8f1579a7b321,21,"Map of Ash Lake Township: Township 111 N, Range 45 W of the 5th PM.; Page 19: Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2386/info.json
1aadb0c9-faaa-47a9-8c31-f5255e481960,22,"Farmers' Directory of Lake Stay Township.; Page 20: Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2387/info.json
40feaa21-120d-444e-a597-c1f28b164c4e,23,"Map of Lake Stay Township: Township 111 N, Range 44 W of the 5th PM.; Page 21: Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2388/info.json
a9d452d1-9078-4828-a42e-c5d1b4595327,24,"Farmers' Directory of Drammen Township.; Page 22: Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2389/info.json
1635a358-7f8f-4e09-813f-799ddb02d8e8,25,"Map of Drammen Township: Township 110 N, Range 46 W of the 5th PM.; Page 23: Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2390/info.json
72af71c2-4b54-41d6-a746-a3de768e00ad,26,"Farmers' Directory of Diamond Lake Township.; Page 24: Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2391/info.json
2f26fd46-bf95-4f1a-80dc-70446d3d6a38,27,"Map of Diamond Lake Township: Township 110 N, Range 45 W of the 5th PM.; Page 25: Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2392/info.json
94293c6f-3d13-45e8-828f-1195e663ab56,28,"Farmers' Directory of Marshfield Township.; Page 26: Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2393/info.json
13e01c89-ddeb-4c1f-bfd0-7c36ca9a5590,29,"Map of Marshfield Township: Township 110 N, Range 44 W of the 5th PM.; Page 27: Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2394/info.json
d245ef8e-1ca9-4603-b51c-40c05f647eff,30,"Farmers' Directory of Verdi Township.; Page 28: Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2395/info.json
75d34b00-636b-43bc-aeb5-cdef5d0ee021,31,"Map of Verdi Township: Township 109 N, Range 46 W of the 5th PM.; Page 29: Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2396/info.json
