id,sort,dc_title,dc_description,dc_creator,iiif_service
3f8fef84-74d3-4e5a-aadd-44350c6419ce,"Standard atlas of Nobles County, Minnesota : including a plat book of the villages, cities and townships of the county","Parent Record; Standard atlas of Nobles County, Minnesota","Standard atlas of Nobles County, Minnesota: including a plat book of the villages, cities and townships of the county. Compiled and published by Geo. A. Ogle & Co. Chicago : The Company c1914.",Geo. A. Ogle & Co.,
6abe5a22-1d4b-434e-b806-363fae64c1d3,1,"Front Cover; Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2235/info.json
ed4f4535-68af-4a90-9020-71c725663c42,2,"Title Page; Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2236/info.json
351721af-6970-4d2c-995c-aea675fc7c8d,3,"Table of Contents; Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2237/info.json
92aee511-af61-433d-bcdb-de27bc32ad7d,4,"Index to Illustrations; Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2238/info.json
80878cc1-068b-46d1-b2bf-9507d4382a10,5,"Outline Map of Nobles County; Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2239/info.json
e0efd596-a886-4f4c-9c71-164f34c1e6da,6,"Map of Worthington; Page 10 & 11: Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2240/info.json
b989c8df-52ce-4d64-a7a6-4952c3068145,7,"Map of Adrian & Round Lake; Pages 14 & 15: Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2241/info.json
27416fd9-fddf-4517-b9e7-62baf6e65b03,8,"Map of Ellsworth; Rushmore; Hersey Platted as Brewster; Leota; Pages 18 & 19: Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2242/info.json
f3b35296-9822-410f-8059-138cc6abffac,9,"Map of Kinbrae; Bilgelow; Wilmont; Dundee; St Kilian; Pages 22 & 23: Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2243/info.json
154614a3-ac06-4176-bbff-27afd8c8f5e5,10,"Map of Lismore; Org.; Page 25: Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2244/info.json
b7da5633-7404-4aa5-b7b2-7f64ca2eb9c3,11,"Map of Indian Lake Township: Township 101 N; Range 39 W of the 5th PM.; Page 27: Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2245/info.json
6b6a6110-2aff-4d31-9fdf-89fe1dfa8cec,12,"Map of Lorain Township: Township 102 N; Range 39 W of the 5th PM.; Page 29: Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2246/info.json
13c6e650-03b5-4557-b2cd-b54daa626a08,13,"Map of Hersey Township: Township 103 N; Range 39 W of the 5th PM.; Page 31: Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2247/info.json
f6e11398-a965-4f1e-8b12-a45d038dc585,14,"14 Duplicate of Graham Lake; Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2248/info.json
a0a0fd8e-6a18-4995-9f97-d69c7da07dce,15,"Map of Graham Lake Township: Township 104 N; Range 39 W of the 5th PM.; Page 33: Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2249/info.json
004ce844-b751-4fe7-a16d-ddebae320fe7,16,"Map of Bigelow Township: Township 101 N; Range 40 W of the 5th PM.; Page 35: Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2250/info.json
ccc02778-c031-4153-a15d-28bc57a7e2c6,17,"Map of Worthington Township: Township 102 N; Range 40 W of the 5th PM.; Page 37: Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2251/info.json
edcc8b4a-6e7d-4f0d-bd52-a55e019fb6cb,18,"Map of Elk Township: Township 103 N; Range 40 W of the 5th PM.; Page 39: Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2252/info.json
69008378-d3f6-4cf6-8093-499b91a2358f,19,"Map of Seward Township: Township 104 N; Range 40 W of the 5th PM.; Page 41: Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2253/info.json
7eaf3c6f-519e-41c7-984a-5a7c487e4c8f,20,"Map of Ransom Township: Township 101 N; Range 41 W of the 5th PM.; Page 43: Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2254/info.json
7710b671-4f39-4994-b992-fc65346cc161,21,"Map of Dewald Township: Township 102 N; Range 41 W of the 5th PM.; Page 45: Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2255/info.json
