id,a,dc_title,dc_description,,dc_creator,keywords,iiif_service
f19e338a-8e7b-4590-af2f-373c15475f64,"Atlas and Farmers' Directory of Sibley County, Minnesota","Parent Record; Atlas and farmers' directory of Sibley County, Minnesota, 1914","Atlas and farmers' directory of Sibley county, Minnesota, containing plats of all townships with owners names also maps of the state and United States, with an outline map of the county showing location of townships, villages, roads, schools, churches, railroads, streams, etc.",,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,
751906de-412c-4f61-8d0a-5a1e6dce0c9b,1,"Front Cover; Atlas and farmers' directory of Sibley County, Minnesota, 1914",,,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2135/info.json
dde84888-9036-4f35-b1f0-56dd572a496b,2,"Front Pastedown; Atlas and farmers' directory of Sibley County, Minnesota, 1914",,,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2136/info.json
3e83ce3f-2e72-4553-a7c3-e11747e5506a,3,"Title Page; Atlas and farmers' directory of Sibley County, Minnesota, 1914",,,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2137/info.json
93e4836e-72f5-427c-ace2-0d8b2c4bf24b,4,"Topographical Map of Sibley County, Minnesota; Page 3: Atlas and farmers' directory of Sibley County, Minnesota, 1914",,,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2138/info.json
92f805cd-b8e5-4ae4-b434-c7e0a1695c06,5,"Farmers' Directory of Faxon Township; Page 4: Atlas and farmers' directory of Sibley County, Minnesota, 1914",,,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2139/info.json
232c1a15-8a1e-4e45-8de3-4280a5442211,6,"Map of Faxon Township: Township 113 & 114 N, Range 25 W of the 5th PM.; Page 5: Atlas and farmers' directory of Sibley County, Minnesota, 1914",,,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2140/info.json
88a4ccac-23a4-44f8-be1f-88d4152ff14d,7,"Farmers' Directory of Washington Lake Township; Page 6: Atlas and farmers' directory of Sibley County, Minnesota, 1914",,,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2141/info.json
6e6e8264-7c59-4063-97b1-679634eec222,8,"Map of Washington Lake Township: Township 114 N, Range 26 W of the 5th PM.; Page 7: Atlas and farmers' directory of Sibley County, Minnesota, 1914",,,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2142/info.json
22da9cb1-a034-4ee7-94a0-bbc6c4a56c0e,9,"Farmers' Directory of Green Isle Township; Page 8: Atlas and farmers' directory of Sibley County, Minnesota, 1914",,,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2143/info.json
