id,sort,dc_title,dc_description,dc_creator,iiif_service
419f26dd-bdc1-4c88-9e8e-d1f22fd1b2d4,"Atlas and Farmers' Directory of Winona County, Minnesota","Parent Record; Atlas and farmers' directory of Winona County, Minnesota, 1914","Atlas and farmers' directory of Winona County, Minnesota, containing plats of all townships with owners names, also maps of the state and the United States, with an outline map of the county showing the location of townships, villages, roads, schools, churches, railroads, streams, etc.",Webb Publishing Co.,
c9629e0f-1d09-4909-8bd5-19ba9bd1ccbe,1,"Front Cover; Atlas and farmers' directory of Winona County, Minnesota, 1914",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/382/info.json
5a153bf8-63d5-4458-b9aa-66307b9841b4,2,"Front Pastedown; Atlas and farmers' directory of Winona County, Minnesota, 1914",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/383/info.json
287d3ba4-a601-4762-ba88-10432ab16c57,3,"Title Page; Atlas and farmers' directory of Winona County, Minnesota, 1914",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/384/info.json
25506b93-784a-408f-ae3d-77807fc52339,4,"Topographical Map of Winona County, Minnesota; Page 3: Atlas and farmers' directory of Winona County, Minnesota, 1914",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/385/info.json
28d403ee-412f-4b82-8591-5cd6353dacd7,5,"Farmers' Directory of Rollingstone Township; Page 4: Atlas and farmers' directory of Winona County, Minnesota, 1914",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/386/info.json
4a40f1bb-2bdf-40e1-a6ce-e9e192d8fc23,6,"Map of Rollingstone Township: Township 107 & 108 N, Range 8 W of the 5th PM.; Page 5: Atlas and farmers' directory of Winona County, Minnesota, 1914",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/387/info.json
8e3ca556-a289-4e31-acf6-6768af36494f,7,"Farmers' Directory of Mount Vernon Township; Page 6: Atlas and farmers' directory of Winona County, Minnesota, 1914",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/388/info.json
3885569c-5edc-44a4-abb8-d87b9de38636,8,"Map of Mount Vernon Township: Township 108 N, Range 9 W of the 5th PM.; Page 7: Atlas and farmers' directory of Winona County, Minnesota, 1914",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/389/info.json
dc748857-5a2e-4f1a-9bda-391ddf6b9c4d,9,"Farmers' Directory of Whitewater Township; Page 8: Atlas and farmers' directory of Winona County, Minnesota, 1914",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/390/info.json
